Geography,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada 4 (map),"5,474,412","5,476,575","5,548,424","5,579,218","5,551,567","5,557,042","5,596,614","5,561,899","5,619,628","5,622,592","5,658,707","5,615,894","5,735,936","5,798,454","5,751,420","5,825,352","5,820,734","5,861,327","5,876,104","5,920,929","5,932,199","5,939,477","5,948,190","5,975,922","5,988,224","6,055,781","6,069,055","6,046,684","6,120,949","6,127,070","6,203,654","6,177,019","6,201,718","6,228,415","6,250,998","6,287,346","6,320,382","6,316,937","6,367,427","6,365,521","6,395,037","6,451,556","6,423,085","6,450,657","6,453,375","6,478,926","6,497,402","6,505,406"
Newfoundland and Labrador,"70,339","70,791","71,069","70,132","70,247","71,070","69,977","69,304","70,599","70,275","69,495","68,493","69,416","69,313","69,392","70,346","70,164","69,857","69,752","70,030","68,852","68,957","68,657","68,139","69,092","69,607","69,583","68,397","69,357","69,080","71,105","69,520","70,202","68,726","68,637","69,804","70,897","70,622","70,727","70,606","70,334","71,371","70,627","70,527","70,423","70,702","70,081","69,726"
Prince Edward Island,"20,774","21,109","20,942","20,818","21,017","20,797","20,141","20,230","21,135","21,166","21,981","20,989","21,409","21,412","21,982","22,072","22,125","22,557","22,540","22,903","23,077","23,025","23,074","23,077","23,298","23,298","23,196","23,613","24,182","24,100","24,498","24,296","24,521","24,378","23,921","24,277","24,839","25,204","25,624","25,781","25,920","26,235","26,272","26,381","26,555","26,593","26,800","27,065"
Nova Scotia,"129,986","131,718","132,230","131,081","130,931","133,330","130,417","132,340","135,187","135,029","133,570","133,280","135,988","134,377","135,547","137,566","137,834","140,497","140,565","139,077","139,640","140,426","141,490","141,551","141,866","143,332","143,099","141,398","141,335","141,525","141,921","143,000","142,733","142,492","142,340","142,454","144,845","144,328","145,268","146,138","147,208","146,943","148,315","148,689","148,175","147,326","147,414","148,095"
New Brunswick,"98,598","97,875","98,951","99,631","100,127","99,570","98,293","98,542","98,884","99,157","98,673","97,780","102,647","100,362","100,663","101,636","100,064","100,859","100,941","102,053","102,299","102,162","103,050","101,921","102,659","103,343","102,728","101,472","103,067","102,744","104,110","103,461","104,713","104,333","103,831","105,306","105,037","105,574","106,205","105,782","106,152","107,228","106,735","107,351","106,481","106,322","106,068","105,923"
Quebec,"1,022,372","1,018,661","1,034,714","1,050,204","1,035,880","1,027,274","1,041,210","1,034,723","1,052,326","1,055,617","1,060,132","1,057,332","1,082,475","1,084,748","1,073,169","1,097,129","1,093,275","1,101,795","1,112,129","1,124,447","1,117,337","1,125,673","1,129,318","1,124,275","1,122,638","1,131,767","1,151,454","1,144,468","1,158,591","1,159,439","1,187,266","1,175,422","1,178,477","1,182,987","1,179,763","1,203,170","1,195,045","1,208,632","1,222,218","1,221,359","1,227,797","1,250,762","1,235,530","1,251,159","1,263,898","1,263,900","1,275,732","1,280,689"
Ontario,"2,132,643","2,145,070","2,164,273","2,172,498","2,164,944","2,161,351","2,200,079","2,181,322","2,202,149","2,205,213","2,214,440","2,196,194","2,246,119","2,284,116","2,252,593","2,283,831","2,286,116","2,303,784","2,305,977","2,314,367","2,335,465","2,325,274","2,342,506","2,357,477","2,383,309","2,425,052","2,411,915","2,398,740","2,420,846","2,432,095","2,457,653","2,450,068","2,464,542","2,487,663","2,496,679","2,511,348","2,511,068","2,525,110","2,537,072","2,534,827","2,542,713","2,561,743","2,551,770","2,563,402","2,550,084","2,561,997","2,568,336","2,568,073"
Manitoba,"160,024","160,578","163,718","163,159","163,442","165,747","165,685","163,762","167,278","165,345","167,040","166,074","167,328","171,307","170,229","170,385","170,175","171,869","170,747","172,954","171,996","170,489","170,633","172,547","172,700","173,313","173,814","174,641","176,664","175,378","174,837","176,356","177,909","178,557","179,980","178,381","179,567","181,105","180,792","180,794","182,064","181,780","183,373","182,859","181,948","182,801","182,998","183,175"
Saskatchewan,"160,510","160,663","161,476","163,258","162,141","163,571","161,371","160,312","161,444","159,480","163,432","162,158","163,618","167,068","164,018","162,421","161,380","160,702","159,077","161,302","162,195","162,462","163,622","163,852","159,726","159,563","158,962","159,866","162,201","161,834","163,701","165,086","164,035","161,367","160,356","161,365","162,836","160,857","162,580","161,622","162,025","161,566","162,475","161,022","159,557","161,716","161,355","161,504"
