type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Control,23,32,3-Moderately,Small (5-99),Payroll,Closed,437,3.1,3,Toronto
Control,34,48,2-Slightly,Micro (1-4),Rent,Closed,35,4.2,3,Toronto
Control,32,56,5-Extremely,Small (5-99),Rent,Closed,409,4.5,1,London
Control,35,44,2-Slightly,Small (5-99),Rent,Closed,168,3.7,3,Hamilton
Control,50,31,2-Slightly,Small (5-99),Business taxes,Closed,168,4.1,2,Hamilton
Control,44,49,5-Extremely,Small (5-99),Payroll,Closed,251,3.6,2,Toronto
Control,34,47,5-Extremely,Small (5-99),Rent,Closed,244,4.2,2,Toronto
Control,42,48,4-Very,Small (5-99),Rent,Closed,352,3.1,2,Ottawa
Control,39,38,5-Extremely,Small (5-99),Rent,Closed,158,3.8,2,Toronto
Control,36,43,5-Extremely,Small (5-99),Rent,Closed,127,3.3,1,Hamilton
Control,45,56,4-Very,Small (5-99),Rent,Closed,445,4.2,3,London
Control,27,33,2-Slightly,Small (5-99),Rent,Closed,338,3.8,2,Toronto
Control,43,45,4-Very,Small (5-99),Paying vendors,Closed,334,3.7,2,Ottawa
Control,48,39,4-Very,Micro (1-4),Payroll,Closed,59,3.6,1,Toronto
Control,31,44,5-Extremely,Small (5-99),Insurance,Closed,69,3.7,2,Toronto
Control,40,43,5-Extremely,Small (5-99),Paying vendors,Closed,385,4.1,3,Hamilton
Control,31,48,2-Slightly,Small (5-99),Payroll,Closed,454,3.4,1,Toronto
Control,42,52,1-Not at all,Micro (1-4),Business taxes,Closed,257,3.4,2,Toronto
Control,38,40,4-Very,Small (5-99),Rent,Closed,252,4.7,3,Hamilton
Control,34,52,2-Slightly,Small (5-99),Payroll,Closed,402,3.9,2,London
Control,36,50,5-Extremely,Small (5-99),Payroll,Closed,333,3.7,3,Toronto
Control,43,42,5-Extremely,Small (5-99),Payroll,Closed,328,2.3,1,Hamilton
Control,35,50,4-Very,Small (5-99),Rent,Closed,334,2.7,3,Toronto
Control,27,44,4-Very,Micro (1-4),Rent,Closed,62,2.9,2,Toronto
Control,31,41,4-Very,Small (5-99),Paying vendors,Closed,203,3.7,2,Toronto
Control,31,46,4-Very,Micro (1-4),Payroll,Closed,486,2.7,2,Toronto
Control,47,47,2-Slightly,Small (5-99),Rent,Closed,76,3.1,2,Toronto
Control,49,50,5-Extremely,Small (5-99),Rent,Closed,181,3.3,2,Toronto
Control,34,43,5-Extremely,Small (5-99),Payroll,Closed,12,2.1,3,Toronto
Control,41,47,3-Moderately,Small (5-99),Paying vendors,Closed,136,4,2,Toronto
Control,39,43,5-Extremely,Small (5-99),Business taxes,Closed,67,3.2,2,London
Control,25,42,4-Very,Small (5-99),Rent,Closed,262,3.3,2,Toronto
Control,32,45,4-Very,Micro (1-4),Rent,Closed,216,4.1,2,Toronto
Control,45,41,5-Extremely,Small (5-99),Paying vendors,Closed,175,2.9,1,Toronto
Control,31,47,4-Very,Small (5-99),Business taxes,Closed,99,3.1,2,London
Control,40,48,3-Moderately,Small (5-99),Business taxes,Closed,433,3.1,2,Toronto
Control,36,34,3-Moderately,Small (5-99),Insurance,Closed,155,4.3,2,Toronto
Control,40,44,3-Moderately,Small (5-99),Payroll,Closed,308,3.4,2,Hamilton
Control,37,35,2-Slightly,Small (5-99),Paying vendors,Closed,227,4.2,1,Toronto
Control,39,45,3-Moderately,Small (5-99),Insurance,Closed,411,3.3,1,Toronto
Control,31,46,4-Very,Small (5-99),Paying vendors,New,461,2.9,2,Toronto
Control,39,44,5-Extremely,Small (5-99),Paying vendors,Closed,363,4.1,3,Toronto
Control,29,50,4-Very,Small (5-99),Payroll,Closed,65,4.3,2,Toronto
Control,31,50,3-Moderately,Micro (1-4),Paying vendors,Closed,327,3.7,3,Toronto
Control,45,44,3-Moderately,Small (5-99),Business taxes,Closed,330,3.2,2,Ottawa
Control,31,47,3-Moderately,Micro (1-4),Paying vendors,Closed,221,4,2,Hamilton
Control,38,50,5-Extremely,Micro (1-4),Paying vendors,Closed,84,3.3,2,Toronto
Control,34,44,4-Very,Small (5-99),Paying vendors,Closed,173,2.8,2,Toronto
Control,43,49,2-Slightly,Micro (1-4),Rent,Closed,188,2.9,2,London
Control,36,41,3-Moderately,Micro (1-4),Paying vendors,Closed,246,3.1,2,Toronto
Control,58,45,3-Moderately,Small (5-99),Rent,Closed,122,4,2,Ottawa
Control,41,52,3-Moderately,Micro (1-4),Business taxes,Closed,213,3.8,2,Toronto
Control,40,44,2-Slightly,Micro (1-4),Payroll,Closed,287,3.4,2,Hamilton
Control,36,45,4-Very,Small (5-99),Paying vendors,Closed,474,3.3,1,Toronto
Control,31,46,4-Very,Micro (1-4),Insurance,Closed,349,3.3,2,Toronto
Control,29,51,3-Moderately,Micro (1-4),Rent,Closed,63,3.7,1,Toronto
Control,43,52,5-Extremely,Small (5-99),Paying vendors,Closed,172,3.1,2,Toronto
Control,32,47,4-Very,Small (5-99),Business taxes,Closed,104,3,1,Toronto
Control,33,34,4-Very,Small (5-99),Rent,Closed,97,3.6,2,Toronto
Control,27,48,4-Very,Small (5-99),Payroll,Closed,140,3.3,2,Toronto
Control,44,40,3-Moderately,Small (5-99),Business taxes,Closed,251,3.6,2,Thunder Bay
Control,26,52,4-Very,Small (5-99),Rent,Closed,427,3.2,2,Ottawa
Control,27,42,4-Very,Small (5-99),Insurance,Closed,220,3.3,2,Toronto
Control,32,44,4-Very,Micro (1-4),Paying vendors,Closed,109,3.8,2,Thunder Bay
Control,42,43,5-Extremely,Small (5-99),Rent,Closed,22,3.5,3,Toronto
Control,60,41,2-Slightly,Micro (1-4),Paying vendors,Closed,251,3.8,2,Ottawa
Control,50,50,4-Very,Small (5-99),Rent,Closed,382,2.9,3,Ottawa
Control,41,48,5-Extremely,Small (5-99),Rent,Closed,297,3.5,1,Toronto
Control,29,41,5-Extremely,Micro (1-4),Business taxes,Closed,17,3.8,2,Toronto
Control,43,45,4-Very,Small (5-99),Rent,Closed,178,3.5,2,Toronto
Control,34,50,4-Very,Small (5-99),Payroll,Closed,39,3.4,2,Ottawa
Control,36,44,5-Extremely,Micro (1-4),Payroll,Closed,256,3,2,Toronto
Control,37,43,3-Moderately,Small (5-99),Payroll,Closed,80,4.6,2,Thunder Bay
Control,37,55,5-Extremely,Small (5-99),Paying vendors,Closed,303,3.8,2,Toronto
Control,30,40,3-Moderately,Small (5-99),Business taxes,Closed,224,4.5,2,Toronto
Control,29,38,4-Very,Small (5-99),Business taxes,Closed,3,4.2,2,Toronto
Control,29,39,4-Very,Micro (1-4),Rent,Closed,448,2.9,2,Hamilton
Control,40,43,4-Very,Small (5-99),Payroll,Closed,404,2.2,3,Toronto
Control,37,47,5-Extremely,Micro (1-4),Business taxes,Closed,269,3.7,2,Toronto
Control,30,51,5-Extremely,Small (5-99),Rent,Closed,302,2.9,2,Toronto
Control,44,52,4-Very,Micro (1-4),Rent,Closed,250,2.7,3,Hamilton
Control,39,48,3-Moderately,Small (5-99),Paying vendors,Open,425,2.5,2,London
Control,41,39,3-Moderately,Small (5-99),Paying vendors,Closed,392,3.7,2,Toronto
Control,36,44,3-Moderately,Small (5-99),Payroll,Closed,431,2.8,2,Ottawa
Control,40,52,3-Moderately,Small (5-99),Rent,Closed,178,2.8,3,Toronto
Control,31,46,5-Extremely,Micro (1-4),Rent,Closed,434,4,0,Toronto
Control,36,41,3-Moderately,Small (5-99),Paying vendors,Closed,364,3.7,3,Toronto
Control,45,30,5-Extremely,Small (5-99),Payroll,Closed,232,4,2,Toronto
Control,47,46,4-Very,Small (5-99),Payroll,Closed,10,3.7,2,Ottawa
Control,36,35,4-Very,Micro (1-4),Paying vendors,Closed,181,2.9,1,Toronto
Control,38,40,3-Moderately,Small (5-99),Business taxes,Closed,239,3.6,2,Hamilton
Control,40,36,3-Moderately,Small (5-99),Paying vendors,Closed,430,3.6,1,Ottawa
Control,34,49,5-Extremely,Micro (1-4),Paying vendors,Closed,170,3.1,2,Ottawa
Control,29,45,3-Moderately,Small (5-99),Insurance,Closed,95,3.2,2,Toronto
Control,37,37,5-Extremely,Small (5-99),Business taxes,Closed,274,3.5,2,Toronto
Control,32,39,2-Slightly,Small (5-99),Insurance,Closed,5,3.2,3,Hamilton
Control,35,49,5-Extremely,Micro (1-4),Paying vendors,Open,154,3,1,Toronto
Control,44,44,5-Extremely,Small (5-99),Paying vendors,Closed,399,3.5,2,Toronto
Control,37,42,5-Extremely,Micro (1-4),Payroll,Closed,330,2.8,1,London
Control,39,50,5-Extremely,Small (5-99),Rent,Closed,281,3.1,1,Thunder Bay
Control,33,40,3-Moderately,Small (5-99),Insurance,Closed,234,2.5,2,Toronto
Control,41,43,3-Moderately,Small (5-99),Insurance,Closed,199,3.8,3,Toronto
Control,43,48,3-Moderately,Small (5-99),Payroll,Closed,169,3.9,2,Toronto
Control,43,42,5-Extremely,Small (5-99),Rent,Closed,153,3.2,2,London
Control,27,38,2-Slightly,Micro (1-4),Rent,Closed,162,4,2,Toronto
Control,29,42,5-Extremely,Small (5-99),Payroll,Closed,406,3.1,3,Toronto
Control,37,38,4-Very,Small (5-99),Paying vendors,Closed,371,4,2,Ottawa
Control,35,45,4-Very,Small (5-99),Insurance,Closed,131,2.8,2,Toronto
Control,38,48,4-Very,Micro (1-4),Insurance,Closed,495,3,2,Toronto
Control,36,43,2-Slightly,Micro (1-4),Payroll,Closed,47,3.2,3,Toronto
Control,38,33,5-Extremely,Small (5-99),Payroll,Closed,10,3.5,3,Toronto
Control,35,42,4-Very,Small (5-99),Rent,Closed,364,3.6,2,Toronto
Control,40,41,5-Extremely,Small (5-99),Payroll,Closed,77,4.3,2,Toronto
Control,38,46,4-Very,Small (5-99),Paying vendors,Closed,23,3.7,1,Toronto
Control,30,44,4-Very,Small (5-99),Paying vendors,Closed,103,3.6,2,Toronto
Control,36,49,4-Very,Small (5-99),Payroll,Closed,490,4.1,2,London
Control,40,46,4-Very,Micro (1-4),Payroll,Closed,132,3.7,2,Toronto
Control,36,36,5-Extremely,Small (5-99),Payroll,Closed,286,3.1,2,Toronto
Control,40,39,5-Extremely,Medium (100-499),Paying vendors,Closed,342,4.5,2,Toronto
Control,32,37,2-Slightly,Small (5-99),Business taxes,Closed,303,4,2,Toronto
Control,31,42,5-Extremely,Small (5-99),Insurance,Closed,19,3.2,2,Ottawa
Control,32,48,4-Very,Small (5-99),Paying vendors,Closed,168,3.6,2,Toronto
Control,34,48,2-Slightly,Small (5-99),Paying vendors,Closed,461,3.7,3,Ottawa
Control,29,45,5-Extremely,Small (5-99),Rent,Closed,78,3.9,2,London
Control,37,46,5-Extremely,Small (5-99),Business taxes,Closed,83,3.7,2,Toronto
Control,39,38,4-Very,Small (5-99),Insurance,Closed,182,2.4,2,Ottawa
Control,32,52,5-Extremely,Micro (1-4),Paying vendors,Closed,42,2.9,1,Thunder Bay
